Topic,Proportion
Gas Supply,0.4008097165991903
Vulnerability,0.22267206477732793
Customer Satisfaction,0.13765182186234817
Carbon Monoxide Awareness,0.13765182186234817
Unplanned Interruptions,0.08097165991902834
Planned Interruptions,0.020242914979757085
