Topic,Count,Proportion
Gas Supply,99,0.400809717
Vulnerability,55,0.222672065
Customer Satisfaction,34,0.137651822
Carbon Monoxide Awareness,34,0.137651822
Unplanned Interruptions,20,0.08097166
Planned Interruptions,5,0.020242915
