Topic,Proportion
Vulnerability,0.36231884057971014
Customer Satisfaction,0.2898550724637681
Carbon Monoxide Awareness,0.15942028985507245
Unplanned Interruptions,0.11594202898550725
Gas Supply,0.057971014492753624
Planned Interruptions,0.014492753623188406
