Topic,Count,Proportion
Customer Satisfaction,21,0.355932203
Collaborative Streetworks,11,0.186440678
Innovation,7,0.118644068
Vulnerability,6,0.101694915
Climate and Carbon Commitments,3,0.050847458
Emergency Service,2,0.033898305
Physical Security and Cyber Resilience,2,0.033898305
Net Zero Emissions in the Energy System,2,0.033898305
Gas Supply,2,0.033898305
Guaranteed Standards of Performance (GSOP),1,0.016949153
Unplanned Interruptions,1,0.016949153
Carbon Monoxide Awareness,1,0.016949153
